,ID,Sector,Company
0,517140,computers,Moser Baer (India)
1,532488,pharmaceuticals,Divis Laboratories
2,532820,textiles,E-Land Apparel
3,500459,personal care,Procter and Gamble Hygiene and Health Care
4,519600,plantations,CCL Products India
5,517496,,
6,590087,chemicals,Ellenbarrie Industrial Gases
7,500696,personal care,Hindustan Unilever
8,531162,personal care,Emami
9,532729,sugar,Uttam Sugar Mills
10,532865,pesticides & agro chemicals,Meghmani Organics
11,532424,personal care,Godrej Consumer Products
12,538567,lubricants,Gulf Oil Lubricants India
13,500038,sugar,Balrampur Chini Mills
14,532301,plantations,Tata Coffee
15,522175,oil drilling and exploration,SVOGL Oil Gas and Energy
16,532721,steel,Visa Steel
17,524715,pharmaceuticals,Sun Pharmaceutical Industries
18,532654,plantations,Mcleod Russel (India)
19,533193,electric equipment,Kirloskar Electric Co
20,533257,miscellaneous,Indosolar
21,533033,engineering,ISGEC Heavy Engineering
22,501425,plantations,Bombay Burmah Trading Corporation
23,500042,chemicals,BASF India
24,500251,retail,Trent
25,500790,food processing,Nestle India
26,532659,finance,IDFC
27,532673,sugar,KM Sugar Mills
28,532851,pesticides & agro chemicals,Insecticides India
29,500770,chemicals,Tata Chemicals
30,532692,packaging,Radha Madhav Corporation
31,540064,retail,Future Retail
32,532254,computers,Polaris Consulting & Services
33,500314,hotels,Oriental Hotels
34,500570,auto,Tata Motors
35,500285,transport & logistics,SpiceJet
36,500010,finance,Housing Development Finance Corporation
37,505982,castings & forgings,Hinduja Foundries
38,500108,telecommunications,Mahanagar Telephone Nigam
39,532629,engineering,Mcnally Bharat Engineering
40,526612,couriers,Blue Dart Express
41,532478,breweries & distilleries,United Breweries
42,500003,transport & logistics,Aegis Logistics
43,500387,cement,Shree Cements
44,500850,hotels,Indian Hotels Company
45,524372,pharmaceuticals,Orchid Pharma
46,533261,media & entertainment,Eros International Media
47,532908,pharmaceuticals,Sharon Bio Medicine
48,527001,mining & minerals,Ashapura Minechem
49,514486,,
50,500193,hotels,Hotel Leela Venture
51,533248,shipping,Gujarat Pipavav Port
52,500830,personal care,Colgate Palmolive (India)
53,500660,pharmaceuticals,GlaxoSmithKline Pharmaceuticals
54,532511,pesticides & agro chemicals,Excel Crop Care
55,532479,steel,ISMT
56,506285,pesticides & agro chemicals,Bayer CropScience
57,532321,pharmaceuticals,Cadila Healthcare
58,523598,shipping,Shipping Corporation of India
59,513216,steel,Uttam Galva Steel
60,500191,auto,HMT
61,532540,computers,Tata Consultancy Services
62,532778,infrastructure,Lanco Infratech
63,505200,auto,Eicher Motors
64,532682,shipping,ABG Shipyard
65,512233,,
66,532281,computers,HCL Technologies
67,532749,transport & logistics,Allcargo Logistics
68,505230,diversified,Cimmco
69,532774,computers,Accel Frontline
70,538635,transport & logistics,Snowman Logistics
71,533704,shipping,Essar Shipping
72,500825,food processing,Britannia Industries
73,500257,pharmaceuticals,Lupin
74,522134,engineering,Artson Engineering
75,500059,glass & glass products,Binani Industries
76,532839,media & entertainment,Dish TV India
77,532262,trading,TCI Industries
78,524212,pharmaceuticals,Wanbury
79,532628,computers,3i Infotech
80,500800,plantations,Tata Global Beverage
81,532296,pharmaceuticals,Glenmark Pharma
82,507685,computers,Wipro
83,531642,personal care,Marico
84,500477,auto,Ashok Leyland
85,500500,auto,Hindustan Motors
86,507442,sugar,Dharani Sugars and Chemicals
87,511116,telecommunications,Quadrant Televentures
88,530079,,
89,524084,pesticides & agro chemicals,Monsanto India
90,500125,sugar,EID Parry (India)
