,Stock_2015,Stock_2014,Stock_2013,Stock_2012,Stock_2011,Stock_2010,Trend_2015,Trend_2014,Trend_2013,Trend_2012,Trend_2011,Trend_2010,ID
0,568.567518685,427.27133792,475.375090498,555.423257919,563.429860465,1079.22962709,UP,DOWN,DOWN,UP,DOWN,DOWN,531162
1,239.148729447,194.877828746,225.364834835,197.138092006,79.3494263566,200.078439878,DOWN,UP,DOWN,UP,DOWN,DOWN,519600
2,1709.08508221,470.363639144,622.666599099,773.18260181,707.936697674,900.383447489,UP,DOWN,DOWN,UP,DOWN,UP,524715
3,475.049790732,350.742133028,288.271174242,249.76638009,270.602266355,294.473660578,UP,UP,DOWN,UP,DOWN,DOWN,533088
4,,,,,101.581309524,92.1925266362,,,,,DOWN,DOWN,538635
5,1866.65603886,1832.91646024,1945.03174174,1805.33102564,2510.81434109,2576.16086758,DOWN,DOWN,UP,DOWN,DOWN,UP,500182
6,10.387529148,12.6405691824,8.20365709729,6.52184170472,2.07327258567,1.0250433925,DOWN,DOWN,DOWN,UP,UP,UP,507528
7,146.302563528,97.0074923547,68.1466138763,63.5957746479,66.0479499218,57.5038073394,UP,UP,DOWN,UP,DOWN,UP,532716
8,167.996569507,91.330412844,70.5943843844,113.316666667,121.586565891,67.6216438356,UP,UP,UP,DOWN,UP,DOWN,532712
9,,22.0279166667,28.4436111111,18.8866440422,19.9188527132,20.6380060883,,UP,UP,UP,DOWN,UP,533704
10,176.608594918,130.834778287,138.869399399,128.482307692,131.780046512,134.526544901,DOWN,UP,DOWN,UP,DOWN,UP,532659
11,4.42065022422,1.27449082569,0.686345345345,0.223843137255,0.224501587302,0.217369230769,UP,UP,UP,UP,DOWN,DOWN,531366
12,155.976606876,96.9034327217,69.3553828829,60.2334690799,86.151503876,73.6241171994,UP,UP,UP,UP,DOWN,DOWN,532390
13,5505.19343049,6773.12352446,8500.68452703,8760.72475113,12768.0277132,22821.2126332,DOWN,DOWN,DOWN,UP,DOWN,UP,500530
14,8.15585135135,5.4664620155,4.73761882716,3.51130232558,3.9660631068,3.50927222222,UP,UP,DOWN,UP,DOWN,UP,532392
15,1376.55214499,426.910978593,510.752162162,675.148914027,1109.90013178,2647.89993912,UP,DOWN,UP,DOWN,DOWN,DOWN,500825
16,18.3411733931,14.5491304348,9.67167970205,7.14953864734,9.65789451477,7.08377298851,DOWN,UP,UP,DOWN,DOWN,UP,526500
17,24.2183484163,15.1917866044,9.7623046252,7.12043396226,8.3235042735,12.9406276596,DOWN,UP,UP,UP,DOWN,UP,526508
18,142.570971599,155.911185015,176.076223724,262.433559578,345.963333333,565.133759513,UP,DOWN,DOWN,DOWN,DOWN,UP,500331
19,122.741636771,138.453425076,177.022342342,184.241199095,206.053356589,230.325601218,DOWN,DOWN,DOWN,UP,DOWN,UP,500425
20,1001.82097907,221.119617737,125.977222222,194.18933635,724.653666667,1051.46725266,DOWN,UP,DOWN,DOWN,DOWN,UP,524804
21,177.284641256,330.174281346,403.930157658,348.082405732,464.093224806,550.291613394,DOWN,DOWN,UP,UP,DOWN,UP,532851
22,1169.78792227,798.783264526,710.451411411,715.256063348,1137.23352713,918.598097412,DOWN,UP,DOWN,DOWN,DOWN,UP,500228
23,103.301053812,114.874663609,80.7818552036,83.8221841705,193.938868217,219.91029052,DOWN,UP,DOWN,UP,DOWN,DOWN,500057
24,99.7160612855,79.4669189602,82.792515015,71.7356108597,140.381566164,151.145578387,DOWN,UP,DOWN,DOWN,DOWN,UP,506480
25,52.9357473842,33.175412844,42.979542042,38.5853544495,63.207503876,82.416369863,UP,UP,DOWN,UP,DOWN,DOWN,532382
26,641.86935725,664.840336391,582.104812312,665.994924585,848.69027907,954.790190259,DOWN,UP,DOWN,UP,DOWN,UP,511218
27,309.443565022,373.133990826,304.330165165,318.306025641,350.004790698,378.550517504,DOWN,DOWN,UP,DOWN,DOWN,UP,532454
28,308.68706278,261.387614679,250.289924925,247.615241327,360.562844961,357.665388128,DOWN,UP,DOWN,DOWN,DOWN,DOWN,500620
29,222.729394619,184.114281346,134.29018018,210.475098039,761.311852713,881.265882801,DOWN,UP,DOWN,DOWN,DOWN,UP,532511
30,76.6488157895,44.5347026604,30.7815891473,10.9894619423,10.1970695297,11.4997179487,UP,UP,UP,UP,DOWN,DOWN,590116
31,179.191614583,186.301307339,179.884339339,157.166825038,216.678829457,438.754185693,UP,DOWN,UP,UP,DOWN,UP,533261
32,101.355590433,76.5664984709,62.6108558559,51.8390950226,87.8746976744,100.048196347,UP,UP,UP,UP,DOWN,UP,500850
33,65.0890284006,79.8251146789,85.5118168168,142.664615385,147.898108527,162.132024353,DOWN,DOWN,UP,DOWN,DOWN,UP,532822
34,2019.13682362,1887.6317737,2229.79512012,2697.84258673,4281.2813876,6435.80087519,DOWN,DOWN,DOWN,DOWN,DOWN,UP,500459
35,368.728445441,260.156498471,187.916651652,165.413129713,241.904054264,153.701133942,UP,UP,UP,DOWN,DOWN,UP,500295
36,11.6657100149,3.28818348624,2.31253787879,1.28721717172,3.16692924528,2.96944806202,UP,UP,UP,UP,DOWN,DOWN,532673
37,490.16406577,586.655107034,593.349722222,575.406591252,932.837767442,1108.66841705,DOWN,UP,DOWN,UP,DOWN,UP,500042
38,7.55078978979,8.31104205607,6.95065130568,7.43959383754,4.777114241,3.8779981378,DOWN,UP,DOWN,DOWN,DOWN,DOWN,507498
39,261.878318386,317.336911315,462.298025526,563.094841629,651.364821705,865.612085236,DOWN,DOWN,DOWN,DOWN,DOWN,UP,500696
40,366.226522158,56.2718730887,40.3242492492,36.3786399371,61.4321417445,103.968013699,DOWN,UP,UP,UP,DOWN,DOWN,533168
41,342.844693572,399.448853211,578.205833333,816.642375566,859.139666667,1189.36687215,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,532424
42,43.4176532138,23.2970458716,8.96861861862,2.17054901961,2.47904651163,2.33494824962,DOWN,UP,UP,UP,DOWN,DOWN,532775
43,944.087822823,1396.07546851,1893.64718703,2481.36946212,4218.73997674,6825.99077626,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,526612
44,47.5195216741,72.946116208,66.565,59.6342307692,54.3485658915,96.4772374429,DOWN,DOWN,DOWN,UP,DOWN,DOWN,532839
45,22.7357025411,17.272648318,13.1826546547,7.8872775264,9.64424341085,7.44519025875,UP,UP,UP,UP,DOWN,UP,532371
46,126.277473842,87.0347859327,80.4041066066,56.8556259427,87.2344341085,107.990038052,UP,UP,UP,UP,DOWN,DOWN,500840
47,2802.40853513,2802.7020948,2502.98103604,2843.65999246,3461.90287597,1543.70519787,DOWN,UP,UP,DOWN,UP,UP,500209
48,9.27271993912,7.50569005848,5.8073115942,7.77474725275,7.92641549296,11.2014692029,UP,UP,UP,UP,DOWN,DOWN,524748
49,61.0020104634,37.664648318,22.9237211221,9.84761136713,12.2419906542,14.8431330203,UP,UP,UP,UP,DOWN,DOWN,532807
50,947.23103139,1347.16084098,2099.86352102,3389.25392157,8544.8719845,17600.9709437,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,505200
51,65.4311509716,33.9906269113,31.0595195195,28.6016214178,15.6732635659,27.6856925419,DOWN,UP,DOWN,UP,UP,DOWN,500285
52,47.5948281016,38.4547400612,37.626509009,33.2119607843,59.4904883721,97.2040030441,UP,UP,DOWN,UP,DOWN,DOWN,500171
53,1333.16100149,782.83101682,811.004196697,560.74933635,272.609658915,149.93585997,UP,UP,DOWN,UP,UP,UP,526881
54,174.186838565,115.730550459,76.9475225225,61.45739819,95.6206976744,117.403789954,UP,UP,UP,UP,DOWN,UP,500366
55,93.3905453149,104.722949309,90.6633415033,87.1417138365,62.6584583333,47.4142214112,DOWN,UP,DOWN,DOWN,UP,UP,533078
56,1376.61363976,973.514961774,893.233378378,2288.41460784,2557.55742636,3426.0923516,DOWN,UP,DOWN,DOWN,UP,UP,532432
57,25.4725037369,16.262713615,12.9052330097,10.3249585492,10.3511835017,15.5654660194,UP,UP,DOWN,UP,DOWN,UP,532439
