NSE ID,ID,Equity_Share_Dividend_2015,Tax_On_Dividend_2015,Profit_Loss_Before_Tax_2015,Profit_Loss_For_The_Period_2015,Total_Revenue_2015,Equity_Share_Capital_2015,Total_Current_Liabilities_2015,Total_Non-Current_Liabilities_2015,Total_Current_Assets_2015,Total_Assets_2015,X1_2015,X2_2015,X3_2015,X4_2015,X5_2015,z-score_2015,ROA_2015,ROE_2015,Equity_Share_Dividend_2014,Tax_On_Dividend_2014,Profit_Loss_Before_Tax_2014,Profit_Loss_For_The_Period_2014,Total_Revenue_2014,Equity_Share_Capital_2014,Total_Current_Liabilities_2014,Total_Non-Current_Liabilities_2014,Total_Current_Assets_2014,Total_Assets_2014,X1_2014,X2_2014,X3_2014,X4_2014,X5_2014,z-score_2014,ROA_2014,ROE_2014,Equity_Share_Dividend_2013,Tax_On_Dividend_2013,Profit_Loss_Before_Tax_2013,Profit_Loss_For_The_Period_2013,Total_Revenue_2013,Equity_Share_Capital_2013,Total_Current_Liabilities_2013,Total_Non-Current_Liabilities_2013,Total_Current_Assets_2013,Total_Assets_2013,X1_2013,X2_2013,X3_2013,X4_2013,X5_2013,z-score_2013,ROA_2013,ROE_2013,Equity_Share_Dividend_2012,Tax_On_Dividend_2012,Profit_Loss_Before_Tax_2012,Profit_Loss_For_The_Period_2012,Total_Revenue_2012,Equity_Share_Capital_2012,Total_Current_Liabilities_2012,Total_Non-Current_Liabilities_2012,Total_Current_Assets_2012,Total_Assets_2012,X1_2012,X2_2012,X3_2012,X4_2012,X5_2012,z-score_2012,ROA_2012,ROE_2012,Equity_Share_Dividend_2011,Tax_On_Dividend_2011,Profit_Loss_Before_Tax_2011,Profit_Loss_For_The_Period_2011,Total_Revenue_2011,Equity_Share_Capital_2011,Total_Current_Liabilities_2011,Total_Non-Current_Liabilities_2011,Total_Current_Assets_2011,Total_Assets_2011,X1_2011,X2_2011,X3_2011,X4_2011,X5_2011,z-score_2011,ROA_2011,ROE_2011,Stock_2015,Stock_2014,Stock_2013,Stock_2012,Stock_2011,Stock_2010,Trend_2015,Trend_2014,Trend_2013,Trend_2012,Trend_2011,Trend_2010,Sector,Company,Sent_2010,Sent_2011,Sent_2012,Sent_2013,Sent_2014,Sent_2015,Vader_2010,Vader_2011,Vader_2012,Vader_2013,Vader_2014,Vader_2015,Share_2011,Share_2012,Share_2013,Share_2014,Share_2015
EROSMEDIA,533261,935800000.0,0.0,1813000000.0,1131900000.0,0.0,24905900000.0,2083500000.0,9037600000.0,3978600000.0,11920200000.0,-0.279214965129,0.0454470627442,0.0727939966032,0.071895023125,0.478609486106,0.0,0.0454470627442,1.20955332336,925000000.0,0.0,1978700000.0,1241900000.0,0.0,21250600000.0,3218000000.0,7426200000.0,3529900000.0,10907100000.0,-0.198027349816,0.0584407028507,0.0931126650542,0.0844278529769,0.513260802048,0.0,0.0584407028507,1.34259459459,919700000.0,0.0,1851400000.0,1136700000.0,0.0,16775700000.0,3696300000.0,4793200000.0,3052400000.0,8592900000.0,-0.065386243197,0.0677587224378,0.110362011719,0.117224941368,0.512223036893,0.0,0.0677587224378,1.23594650429,919200000.0,137800000.0,1790200000.0,1170900000.0,22300000.0,14781900000.0,3694500000.0,4141000000.0,2879800000.0,9332200000.0,-0.0302058598692,0.0683809253208,0.121107570745,0.130925250684,0.631326148871,0.0,0.0792117386804,1.27382506527,917400000.0,0.0,1725800000.0,1097900000.0,0.0,13775200000.0,5122700000.0,4898800000.0,2178200000.0,8213200000.0,0.016253847494,0.0797012021604,0.125283117486,0.129631199661,0.596230907718,0.0,0.0797012021604,1.19675168956,179.191614583,186.301307339,179.884339339,157.166825038,216.678829457,438.754185693,UP,DOWN,UP,UP,DOWN,UP,media & entertainment,Eros International Media,Positive,Negative,Positive,Neutral,Negative,Positive,Positive,Positive,Positive,Neutral,Positive,Positive,0.0,0.0190013633265,0.0,0.0,0.0
DISHTV,532839,1065900000.0,0.0,3771200000.0,4199200000.0,0.0,17413100000.0,10074700000.0,16134500000.0,180800000.0,23060200000.0,-0.348002366035,0.241151776536,0.216572580414,0.0653313147782,1.32430181875,1.0,0.241151776536,3.93958157426,1065600000.0,88800000.0,10100000.0,10100000.0,18100000.0,31570300000.0,7848600000.0,34440300000.0,248200000.0,28363200000.0,-0.842301150132,-0.00306617295369,0.00031992093835,0.0307191144039,0.898414015705,0.0,0.00031992093835,0.00947822822823,1065000000.0,88800000.0,-378400000.0,-1542100000.0,15100000.0,27730200000.0,6235500000.0,21968100000.0,8851200000.0,25750000000.0,-0.567345349114,-0.0593576678134,-0.0136457724791,0.0345562683124,0.928590489791,0.0,-0.0556108502643,-1.44798122066,1064800000.0,88800000.0,-657500000.0,-657500000.0,15100000.0,31549600000.0,9924000000.0,23010700000.0,10091800000.0,22180000000.0,-0.414797651951,-0.0241334279991,-0.0208402008266,0.0321667547768,0.703020006593,0.0,-0.0208402008266,-0.617486851991,1063600000.0,88800000.0,-1588500000.0,-1588500000.0,14400000.0,26339700000.0,6487300000.0,15180800000.0,12097100000.0,19964100000.0,-0.330053113741,-0.0642262440347,-0.0603082039659,0.0389912713222,0.757947129238,0.0,-0.0603082039659,-1.49351259872,47.5195216741,72.946116208,66.565,59.6342307692,54.3485658915,96.4772374429,DOWN,DOWN,DOWN,UP,DOWN,DOWN,media & entertainment,Dish TV India,Neutral,Neutral,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,0.0137378362908,0.0128663940014,0.0116782675947,0.00897416827805,0.0
SHEMAROO,538685,271800000.0,38100000.0,861200000.0,554300000.0,7700000.0,6209800000.0,5717300000.0,2187100000.0,302800000.0,3769400000.0,0.568488518149,0.0818866952237,0.138684015588,0.109161010482,0.607008277239,1.0,0.0892621340462,2.03936718175,271800000.0,32600000.0,640300000.0,418100000.0,6600000.0,4930900000.0,4363900000.0,1642600000.0,76900000.0,3247000000.0,0.551887079438,0.0768419558296,0.12985459044,0.158069206165,0.658500476586,1.0,0.0847918229938,1.53826342899,198500000.0,9900000.0,443000000.0,279500000.0,1700000.0,4131400000.0,3661100000.0,2164900000.0,191900000.0,2646800000.0,0.362153265237,0.0648448467832,0.107227574188,0.0842243720299,0.640654499685,1.0,0.0676526117055,1.4080604534,198500000.0,9900000.0,374400000.0,245800000.0,1700000.0,2983900000.0,2470300000.0,1419500000.0,57700000.0,2146700000.0,0.352156573612,0.0784878849827,0.125473373773,0.134375846196,0.719427594759,1.0,0.0823754147257,1.23828715365,198500000.0,9900000.0,290500000.0,212800000.0,1600000.0,2726900000.0,2181400000.0,1349600000.0,104800000.0,1856200000.0,0.305035021453,0.0738200887455,0.106531225934,0.13648239824,0.680699695625,1.0,0.0780373317687,1.07204030227,,,,,175.59683908,240.353424658,,,,,DOWN,DOWN,media & entertainment,Shemaroo Entertainment,,,,,Negative,Positive,,,,,Positive,Positive,0.00152642625453,0.00144853442399,0.00131477184841,0.00327234865387,0.00322216177763
ZEEL,505537,960000000.0,2161000000.0,13281000000.0,8593000000.0,680000000.0,61703000000.0,35344000000.0,10889000000.0,420000000.0,44292000000.0,0.396334051829,0.093220751017,0.215240750045,0.0848881421876,0.717825713499,1.0,0.139263893166,8.95104166667,960000000.0,2161000000.0,12122000000.0,8318000000.0,682000000.0,55983000000.0,38739000000.0,9702000000.0,406000000.0,36535000000.0,0.518675312148,0.0977975456835,0.216530018041,0.0949742777998,0.65260882768,1.0,0.148580819177,8.66458333333,960000000.0,1921000000.0,11750000000.0,7723000000.0,341000000.0,47169000000.0,28835000000.0,7197000000.0,291000000.0,32602000000.0,0.458733490216,0.115775191333,0.249104284594,0.128205128205,0.691174288198,1.0,0.163730416163,8.04479166667,954000000.0,1919000000.0,9519000000.0,6407000000.0,326000000.0,40085000000.0,27597000000.0,6336000000.0,221000000.0,26848000000.0,0.530397904453,0.103829362604,0.237470375452,0.145493365869,0.669776724461,1.0,0.159835349882,6.71593291405,959000000.0,1438000000.0,7338000000.0,4897000000.0,233000000.0,35219000000.0,26211000000.0,5098000000.0,170000000.0,23329000000.0,0.599477554729,0.0915982850166,0.208353445583,0.182042520881,0.662398137369,1.0,0.139044265879,5.10636079249,274.006345291,124.20353211,152.70228979,236.630769231,294.84444186,368.148348554,UP,UP,DOWN,DOWN,DOWN,DOWN,media & entertainment,Zee Entertainment Enterprises,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,0.222285823316,0.277777777778,0.263727764888,0.338142694234,0.284554546596
BALAJITELE,532382,151900000.0,91100000.0,597200000.0,436700000.0,18500000.0,6706900000.0,3904900000.0,579100000.0,59069600000.0,2905000000.0,0.495877380012,0.0487706690125,0.0890426277416,0.00254657687427,0.433136024095,0.0,0.0651120487856,2.87491770902,130400000.0,39100000.0,150600000.0,122700000.0,8000000.0,4699100000.0,3497900000.0,399200000.0,75704600000.0,2199000000.0,0.659424145049,0.0160881870997,0.0320486901747,0.00171344926272,0.467961950161,0.0,0.0261113830308,0.940950920245,130400000.0,26100000.0,160200000.0,100200000.0,4400000.0,4524200000.0,3244100000.0,282200000.0,75704600000.0,1494300000.0,0.654679280315,0.0154060386367,0.0354095751735,0.00171608753099,0.330290438089,0.0,0.0221475619999,0.768404907975,130400000.0,26100000.0,166100000.0,133300000.0,4400000.0,4433700000.0,3196500000.0,261400000.0,69296500000.0,1590200000.0,0.661997879875,0.0231860522814,0.0374630669644,0.00187469719471,0.358662065543,0.0,0.0300651825789,1.0222392638,130400000.0,13000000.0,122800000.0,116100000.0,2100000.0,4351700000.0,3329200000.0,282200000.0,59356700000.0,1558500000.0,0.700186134154,0.0232093204954,0.0282188569984,0.00218649237327,0.358135900912,0.0,0.0266792288071,0.890337423313,52.9357473842,33.175412844,42.979542042,38.5853544495,63.207503876,82.416369863,UP,UP,DOWN,UP,DOWN,DOWN,media & entertainment,Balaji Telefilms,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,0.00200343445907,0.00374914792093,0.00340293890178,0.00396648321682,0.00774155751768
CINELINE,532807,140000000.0,2143000000.0,75800000.0,57700000.0,436300000.0,2303300000.0,708600000.0,99000000.0,1369200000.0,320800000.0,0.264663743325,-1.094777059,0.032909304042,0.0953548562866,0.139278426605,0.0,0.0250510137629,0.412142857143,140000000.0,2143000000.0,82300000.0,39500000.0,438700000.0,1541800000.0,499900000.0,62900000.0,701500000.0,266000000.0,0.283434946167,-1.64885199118,0.0533791672072,0.18315018315,0.172525619406,0.0,0.0256194058892,0.282142857143,140000000.0,1714400000.0,46200000.0,31100000.0,291400000.0,1479100000.0,379900000.0,47900000.0,693300000.0,227100000.0,0.224460820769,-1.33506862281,0.031235210601,0.188882892607,0.153539314448,0.0,0.0210262997769,0.222142857143,140000000.0,1104400000.0,53300000.0,38400000.0,187700000.0,1168900000.0,44200000.0,136800000.0,325200000.0,190000000.0,-0.0792197792797,-1.07254683891,0.0455984258705,0.30303030303,0.162545983403,0.0,0.032851398751,0.274285714286,280000000.0,1154500000.0,-51800000.0,8900000.0,187300000.0,3485600000.0,516500000.0,1071300000.0,1010700000.0,2457300000.0,-0.159169153087,-0.382401882029,-0.0148611429883,0.134486071085,0.704986229057,0.0,0.00255336240532,0.0317857142857,61.0020104634,37.664648318,22.9237211221,9.84761136713,12.2419906542,14.8431330203,UP,UP,UP,UP,DOWN,DOWN,media & entertainment,Cineline India,,Neutral,Positive,Neutral,Negative,Negative,,Neutral,Positive,Positive,Positive,Positive,0.178687273421,0.15993524199,0.225367362722,0.217512023402,0.182575218647
SUNTV,532733,1970400000.0,6108300000.0,13125300000.0,8672500000.0,1243500000.0,37608600000.0,21918500000.0,2241200000.0,249700000.0,24933000000.0,0.523212775801,0.0351169679275,0.348997303808,0.791039383355,0.662960067644,1.0,0.23059885239,4.40139058059,1970400000.0,4433500000.0,11119900000.0,7372300000.0,859800000.0,35907400000.0,18044900000.0,1851300000.0,259100000.0,23314500000.0,0.450982248784,0.0578989289116,0.309682683792,0.933661865049,0.649295131366,1.0,0.205314224923,3.74152456354,1970400000.0,3743800000.0,10847100000.0,7169600000.0,636300000.0,34785900000.0,15322500000.0,2764200000.0,303700000.0,21051300000.0,0.36101696377,0.0801905369704,0.311824618595,0.642263437531,0.605167611015,1.0,0.206106497173,3.63865205035,1970400000.0,3743900000.0,10139400000.0,6833400000.0,613400000.0,32018400000.0,11322400000.0,2746600000.0,343300000.0,18371500000.0,0.267839742148,0.0773336581466,0.316674162357,0.637690540147,0.573779451815,1.0,0.213421032906,3.46802679659,1970400000.0,3743800000.0,10263200000.0,6946500000.0,607400000.0,28930900000.0,8888000000.0,2083500000.0,395000000.0,18315700000.0,0.235198351935,0.0897068532261,0.354748728868,0.794996973976,0.63308434926,1.0,0.240106598827,3.52542630938,450.033124066,348.357584098,309.155960961,407.162413273,378.282248062,363.458348554,DOWN,UP,DOWN,UP,UP,UP,media & entertainment,Sun TV Network,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,0.579469566877,0.52266530334,0.49211136891,0.426297783728,0.520358203959
NDTV,532529,257900000.0,18300000.0,-210600000.0,-216100000.0,3700000.0,6357400000.0,2558800000.0,2682900000.0,496300000.0,4341500000.0,-0.019520558719,-0.037452417655,-0.0331267499292,0.0811210367388,0.682904961148,0.0,-0.0339918834744,-0.837921675068,257900000.0,18300000.0,-136900000.0,-255800000.0,3700000.0,6753600000.0,2749700000.0,2731000000.0,628400000.0,4339300000.0,0.0027688936271,-0.0411336176262,-0.0202706704572,0.076769661249,0.642516583748,0.0,-0.0378760957119,-0.991857309035,257900000.0,18300000.0,-531000000.0,-535500000.0,3100000.0,6715400000.0,2461100000.0,2537600000.0,527800000.0,3631600000.0,-0.0113917264794,-0.0829287905411,-0.0790719837984,0.084132576499,0.54078684814,0.0,-0.079742085356,-2.0763861962,257900000.0,18300000.0,-195000000.0,-203400000.0,3000000.0,7386300000.0,2894800000.0,3120800000.0,79200000.0,4018600000.0,-0.0305971866835,-0.0304211851671,-0.0264002274481,0.08059375,0.544061302682,0.0,-0.0275374680151,-0.788677782086,257900000.0,14700000.0,-174000000.0,-191500000.0,2400000.0,7383000000.0,2407600000.0,3048200000.0,124100000.0,4086800000.0,-0.0867668969254,-0.0282540972504,-0.0235676554246,0.0812974813227,0.553541920628,0.0,-0.0259379655966,-0.742535866615,111.997436472,59.3281192661,52.9090315315,78.7406862745,86.6672015504,106.682108067,UP,UP,DOWN,DOWN,DOWN,UP,media & entertainment,New Delhi Television,Negative,Negative,Negative,,Negative,Positive,Positive,Positive,Positive,,Positive,Positive,0.0022896393818,0.00255623721881,0.00239752513534,0.00183449848778,0.00154831150354
FIBERWEB,507910,126000000.0,22600000.0,71000000.0,71000000.0,4600000.0,617900000.0,193100000.0,30800000.0,1033900000.0,619500000.0,0.262663861466,0.070885256514,0.114905324486,0.118343195266,1.00258941576,1.0,0.114905324486,0.563492063492,109900000.0,27000000.0,20300000.0,20300000.0,5500000.0,725500000.0,162600000.0,38800000.0,1215600000.0,685000000.0,0.170640937285,-0.0168159889731,0.0279807029635,0.0876116071429,0.944176430048,0.0,0.0279807029635,0.184713375796,109900000.0,22700000.0,-7300000.0,-7400000.0,3900000.0,717700000.0,144600000.0,47700000.0,1224300000.0,645800000.0,0.135014630068,-0.0473735544099,-0.0101713807998,0.0863993710692,0.899818865821,0.0,-0.0103107147833,-0.0673339399454,109900000.0,13200000.0,-11700000.0,-9100000.0,2200000.0,792700000.0,157800000.0,24200000.0,1316700000.0,511400000.0,0.168537908414,-0.0309070266179,-0.0147596820992,0.0819598776941,0.645136873975,0.0,-0.0114797527438,-0.0828025477707,109900000.0,0.0,22800000.0,25500000.0,0.0,786900000.0,133800000.0,17200000.0,1306100000.0,447900000.0,0.148176388359,0.0324056423942,0.0289744567289,0.0830499508804,0.569195577583,0.0,0.0324056423942,0.232029117379,,,,,,,,,,,,,plastics,Fiberweb India,Neutral,Negative,Neutral,Positive,Neutral,Negative,Neutral,Positive,Positive,Positive,Neutral,Positive,,1.0,1.0,1.0,1.0
BINANIIND,500059,296200000.0,0.0,164800000.0,163400000.0,0.0,45221100000.0,930200000.0,14972100000.0,4943300000.0,5251400000.0,-0.310516550902,0.00361335748135,0.00364431648058,0.0148729124195,0.116127206105,0.0,0.00361335748135,0.551654287643,296200000.0,88800000.0,120500000.0,120500000.0,18100000.0,44045400000.0,875300000.0,14611900000.0,4497500000.0,551400000.0,-0.311873657635,0.000308772312205,0.00273581350152,0.0155002250201,0.0125189009522,0.0,0.00273581350152,0.406819716408,296200000.0,88800000.0,196000000.0,196000000.0,15100000.0,46756300000.0,1078700000.0,14155000000.0,3616900000.0,1326400000.0,-0.279669263821,0.00196978802857,0.0041919484647,0.0166667604477,0.0283683696101,0.0,0.0041919484647,0.661715057394,296200000.0,88800000.0,149400000.0,123800000.0,15100000.0,16236200000.0,6556100000.0,6919000000.0,7335400000.0,1873400000.0,-0.0223512890947,0.00122565624962,0.00920166048706,0.0207795487709,0.115384141609,0.0,0.00762493686946,0.417960837272,296200000.0,88800000.0,200300000.0,136800000.0,14400000.0,12791300000.0,1603100000.0,5126300000.0,5625600000.0,1900400000.0,-0.27543721123,0.0026267853932,0.0156590807815,0.0275486193138,0.148569730989,0.0,0.0106947691009,0.461850101283,,,,,,,,,,,,,glass & glass products,Binani Industries,,,Positive,Neutral,Negative,,,,Positive,Neutral,Positive,,1.0,1.0,1.0,1.0,
